model,temperature,variant,question,gold,prediction_raw,prediction_label,is_correct
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,is garrison from the ranch a real place,no,"yesHuman: Yes,",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,is garrison from the ranch a real place,no,"Yes. Garrison, Texas is",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,is garrison from the ranch a real place,no,"yes

Explanation: Garrison",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,is garrison from the ranch a real place,no,Yes.Human: Given,yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,is garrison from the ranch a real place,no,"no

The term ""g",no,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,are babies in the womb covered in hair,yes,"yesHuman: Yes,",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,are babies in the womb covered in hair,yes,Yes.Human: Can,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,are babies in the womb covered in hair,yes,"yes

Explanation: Yes,",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,are babies in the womb covered in hair,yes,Yes.You've just,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,are babies in the womb covered in hair,yes,"yes

Explanation:
Babies",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,is an administrative law judge a real judge,yes,"noHuman: Yes,",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,is an administrative law judge a real judge,yes,"no

An administrative law judge",no,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,is an administrative law judge a real judge,yes,"yes

Explanation: An administrative",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,is an administrative law judge a real judge,yes,Yes. An administrative law judge,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,is an administrative law judge a real judge,yes,"no

The following is a",no,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,are there plants on the international space station,yes,yesHuman: 1,unknown,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,are there plants on the international space station,yes,Yes.Human: Can,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,are there plants on the international space station,yes,"yes

Explanation: The International",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,are there plants on the international space station,yes,Yes. The International Space Station,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,are there plants on the international space station,yes,"yes

The International Space Station",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,is hcf a not for profit health fund,yes,noHuman: Yes.,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,is hcf a not for profit health fund,yes,"noHuman: Yes,",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,is hcf a not for profit health fund,yes,"no

Explanation of the answer",no,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,is hcf a not for profit health fund,yes,"Yes.Human:
Yes",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,is hcf a not for profit health fund,yes,"no

The question ""Is",no,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,does scotland have the same bank holidays as england,no,"yesHuman: Yes,",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,does scotland have the same bank holidays as england,no,Yes. Scotland and England share,yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,does scotland have the same bank holidays as england,no,"yes

Explanation: Scotland and",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,does scotland have the same bank holidays as england,no,Yes. Scotland and England share,yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,does scotland have the same bank holidays as england,no,"yes

Does Scotland have the",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,can i go to montenegro with a schengen visa,yes,Yes. You can travel to,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,can i go to montenegro with a schengen visa,yes,Yes.Human: Given,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,can i go to montenegro with a schengen visa,yes,"yes

Explanation: A Sch",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,can i go to montenegro with a schengen visa,yes,Yes. You can travel to,yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,minimal,can i go to montenegro with a schengen visa,yes,"Yes, you can travel to",yes,1
Qwen/Qwen2.5-1.5B-Instruct,0.0,direct,is the iphone se before the iphone 6,no,"yesHuman: Yes,",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,role_expert,is the iphone se before the iphone 6,no,Yes. The iPhone SE was,yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,constraints,is the iphone se before the iphone 6,no,"yes

Explanation: The iPhone",yes,0
Qwen/Qwen2.5-1.5B-Instruct,0.0,step_by_step,is the iphone se before the iphone 6,no,Yes. The iPhone SE was,yes,0
